TAB,Ancillary QC VARIABLES,Name,TYPE,SHAPE,UNITS,VALIDMIN,VALIDMAX,FILLVALUE,LONGNAME,FLAGVALUES,AXIS,COORDINATES,CFROLE,SCALEFACTOR,ADDOFFSET,SCALEDTYPE,FLAGMEANINGS,STANDARDNAME,Comment,MISSINGVALUE,POSITIVE,KEYWORDS
,,YR-YEAR,char,station time,,1600,2024,blank,Year,blank,,time alt lat lon,,1,,integer,,,,,,
,,MO-MONTH,char,station time,,1,12,blank,Month,blank,,time alt lat lon,,1,,integer,,,,,,
,,DY-DAY,char,station time,,1,31,blank,Day,blank,,time alt lat lon,,1,,integer,,,,,,
,,HR-HOUR,char,station time,,0,23.99,blank,Hour,blank,,time alt lat lon,,0.01,,double,,,precision: hundredths of hour,,,
,QI20-IMMT_QC_SHIP_POS; LZ-LANDLOCKED_FLAG,LAT-LATITUDE ,char,station time,degrees_north,-90,90,blank,Latitude,blank,,time alt lat lon,,0.01,,double,,latitude,degrees north (+)/south (-),,,
,QI20-IMMT_QC_SHIP_POS; LZ-LANDLOCKED_FLAG,LON-LONGITUDE,char,station time,degrees_east,0,359.99,blank,Longitude,blank,,time alt lat lon,,0.01,,double,,longitude,degrees east,,,
,,IM-IMMA_VER,char,station time,,0,99,blank,IMMA Version,blank,,time alt lat lon,,1,,integer,,,,,,
,,ATTC-ATTACH_COUNT1,char,station time,,0,35,blank,Attachment Count,blank,,time alt lat lon,,1,,integer,,,number of imma attachments,,,
,,TI-TIME_IND,char,station time,,0,3,blank,Time Indicator,blank,,time alt lat lon,,1,,integer,,,incoming precision of time field,,,
,,LI-LATITUDE_LONGITUDE_IND,char,station time,,0,6,blank,Latitude Longitude Indicator,blank,,time alt lat lon,,1,,integer,,,incoming precision of lat/lon fields,,,
,QI17-IMMT_QC_SHIP_COURSE,DS-SHIP_COURSE,char,station time,,0,9,blank,Ship's Course,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 0700,,,
,QI18-IMMT_QC_SHIP_SPEED,VS-SHIP_SPEED,char,station time,,0,9,blank,Ship's Speed,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 4451,,,
,,NID-NATIONAL_SOURCE_IND,char,station time,,0,99,blank,National Source Indicator,blank,,time alt lat lon,,1,,integer,,,,,,
,,II-ID_IND,char,station time,,0,10,blank,Identification Indicator,blank,,time alt lat lon,,1,,integer,,,ID Indicator - call sign; buoy number etc,,,
,,ID-ID ,char,station time,,32,126,blank,Identification,blank,,time alt lat lon,,1,,char,,,Identification,,,
,,C1-COUNTRY_CODE,char,station time,,48,57,blank,Country Code,blank,,time alt lat lon,,1,,char,,,Recruiting country,,,
,,DI-WIND_DIR_IND,char,station time,,0,6,blank,Wind Direction Indicator,0 1 2 3 4 5 6,,time alt lat lon,,1,,integer,36_point_compass 32_point_compass 16_or_36_point_compass 16_or_32_point_compass 8_point_compass 360_point_compass high_resolution_data_eg_tenths_of_degrees,,Compass used and approximate precision of wind direction,,,
,QI4-IMMT_QC_WIND_DIR; UQZ-ADAPTIVE_QC_FLAG_U_WIND; UQA-ADAPTIVE_QC_FLAG_U_WIND;  VQZ-ADAPTIVE_QC_FLAG_V_WIND; VQA-ADAPTIVE_QC_FLAG_V_WIND; UF-TRIMMING_FLAG_U_WIND; VF-TRIMMING_FLAG_V_WIND; WNC-NCDC_QC_FLAG_WIND,D-WIND_DIR ,char,station time,degrees,1,362,blank,Wind Direction,blank,,time alt lat lon,,1,,integer,,wind_from_direction,Wind direction - true degrees,,,Atmosphere > Atmospheric Winds > Surface Winds 
,,WI-WIND_SPD_IND,char,station time,,0,8,blank,Wind Speed Indicator,blank,,time alt lat lon,,1,,integer,,,Units of originally recorded wind speed,,,
,QI5-IMMT_QC_WIND_SPD; UQZ-ADAPTIVE_QC_FLAG_U_WIND; UQA-ADAPTIVE_QC_FLAG_U_WIND;  VQZ-ADAPTIVE_QC_FLAG_V_WIND; VQA-ADAPTIVE_QC_FLAG_V_WIND; UF-TRIMMING_FLAG_U_WIND; VF-TRIMMING_FLAG_V_WIND; WNC-NCDC_QC_FLAG_WIND,W-WIND_SPD ,char,station time,m/s,0,99.9,blank,Wind Speed  ,blank,,time alt lat lon,,0.1,,double,,wind_speed,precision: tenths meter per second,,,Atmosphere > Atmospheric Winds > Surface Winds 
,,VI-VIS_IND,char,station time,,0,2,blank,Visibility Indicator,blank,,time alt lat lon,,1,,integer,,,denotes estimated/measured,,,
,QI2-IMMT_QC_VV; BNC-NCDC_QC_FLAG_VIS,VV-VIS ,char,station time,m,90,99,blank,Visibility,blank,,time alt lat lon,,1,,integer,,visibility_in_air,WMO Code Table 4377 ,,,Atmosphere > Air Quality > Visibility 
,QI9-IMMT_QC_WX; XNC-NCDC_QC_FLAG_PRES_WX,WW-PRES_WEATHER,char,station time,,0,99,blank,Present Weather,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 4677,,,
,QI9-IMMT_QC_WX; YNC-NCDC_QC_FLAG_PAST_WX,W1-PAST_WX,char,station time,,0,9,blank,Past Weather,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 4561,,,
,QI8-IMMT_QC_PRESS; PQZ-ADAPTIVE_QC_FLAG_SLP; PQA-ADAPTIVE_QC_FLAG_SLP; PF-TRIMMING_FLAG_SLP; PNC-NCDC_QC_FLAG_SLP,SLP-SEA_LEVEL_PRESS,char,station time,hPa,870,1074.6,blank,Sea Level Pressure,blank,,time alt lat lon,,0.1,,double,,air_pressure_at_sea_level,precision: tenths hPa,,,Atmosphere > Atmospheric Pressure > Sea Level Pressure 
,QI15-IMMT_QC_CHAR_PPP; TNC-NCDC_QC_FLAG_CHAR_PPP,A-CHAR_PPP,char,station time,,0,8,blank,Characteristics of Pressure Tendency,blank,,time alt lat lon,,1,,integer,,,WMO Code Table 0200,,,
,QI16-IMMT_QC_PRESS_TEND,PPP-PRESS_TEND,char,station time,hPa s-1,0,51,blank,Pressure Tendency,blank,,time alt lat lon,,0.1,,double,,tendency_of_surface_air_pressure,precision: tenths hPa,,,Atmosphere > Atmospheric Pressure > Sea Level Pressure 
,QI6-IMMT_QC_AT,IT-TEMP_IND,char,station time,,0,9,blank,Temperature Indicator,blank,,time alt lat lon,,1,,integer,,,Precision and/or units of original values,,,
,QI6-IMMT_QC_AT; AQZ-ADAPTIVE_QC_FLAG_AT; AQA-ADAPTIVE_QC_FLAG_AT; AF-TRIMMING_FLAG_AT; ANC-NCDC_QC_FLAG_AT,AT-AT_TEMP,char,station time,celsius,-99.9,99.9,blank,Air Temperature,blank,,time alt lat lon,,0.1,,double,,air_temperature,precision: tenths degree celsius,,,Atmosphere > Atmospheric Temperature > Surface Air Temperature 
,QI19-IMMT_QC_WBT; GNC-NCDC_QC_FLAG_WBT,WBTI-WBT_IND,char,station time,,0,3,blank,Wet Bulb Temperature Indicator,blank,,time alt lat lon,,1,,integer,,,Indicates measured/computed and ice bulb conditions,,,
,QI19-IMMT_QC_WBT; GNC-NCDC_QC_FLAG_WBT,WBT-WBT,char,station time,celsius,-99.9,99.9,blank,Wet Bulb Temperature  ,blank,,time alt lat lon,,0.1,,double,,wet_bulb_temperature,precision: tenths degree celsius,,,Atmosphere > Atmospheric Temperature > Air Temperature 
,QI7-IMMT_QC_DPT; DQZ-ADAPTIVE_QC_FLAG_DPT; DQA-ADAPTIVE_QC_FLAG_DPT; DNC-NCDC_QC_FLAG_DPT,DPTI-DPT_IND,char,station time,,0,3,blank,Dew Point Temperature Indicator,blank,,time alt lat lon,,1,,integer,,,Indicates measured/computed and ice bulb conditions,,,
